action_row,enemy_id,enemy_name,action_type,source_id,action_name,effect_id,attack_point,attribute_id,wide_range,add_hp,add_mp,add_sp,calculation,snatch_hp,snatch_mp,snatch_sp,affixation_effect,relieve_effect,add_buff,continuous_turns,initial_usage_count,ai_rate,risk_tags,targeting,limitation
238,157,女夷22,普通攻擊,,基本攻擊效果,386,0,3,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
239,157,女夷22,技能,1699,除魔靈鼓,381,400,6,,,,,,,,,0,0,0,0,4,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
240,157,女夷22,技能,1699,除魔靈鼓,381,400,6,,,,,,,,,0,0,0,0,4,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
241,156,女夷,普通攻擊,,基本攻擊效果,386,0,3,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
242,156,女夷,技能,1699,除魔靈鼓,381,400,6,,,,,,,,,0,0,0,0,4,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
243,156,女夷,技能,1699,除魔靈鼓,381,400,6,,,,,,,,,0,0,0,0,4,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
244,281,天宮仙女,普通攻擊,,基本攻擊效果,358,0,2,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
245,281,天宮仙女,技能,1703,流雲幻光,385,380,6,,,,,,,,,0,0,0,0,3,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
246,281,天宮仙女,技能,1703,流雲幻光,385,380,6,,,,,,,,,0,0,0,0,3,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
247,167,戰死屍鬼,普通攻擊,,基本攻擊效果,122,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
248,167,戰死屍鬼,特殊攻擊,352,特殊攻擊效果 352,352,500,7,,,,,,,,,0,0,0,0,4,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
249,167,戰死屍鬼,特殊攻擊,352,特殊攻擊效果 352,352,500,7,,,,,,,,,0,0,0,0,4,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
250,254,肯塔羅斯,普通攻擊,,基本攻擊效果,40,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
251,254,肯塔羅斯,技能,1513,冰石亂墜,183,100,2,Y,,,,,,,,0,0,0,0,3,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
252,254,肯塔羅斯,技能,1513,冰石亂墜,183,100,2,Y,,,,,,,,0,0,0,0,3,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
253,380,教眾長老,普通攻擊,,基本攻擊效果,313,0,7,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
254,380,教眾長老,技能,1,技能 1,,,,,,,,,,,,,,,,6,6,missing_skill_definition|missing_effect_definition,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
255,380,教眾長老,特殊攻擊,325,特殊攻擊效果 325,325,0,7,,,,,,,,,32,0,0,8,4,4,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
256,380,教眾長老,特殊攻擊,325,特殊攻擊效果 325,325,0,7,,,,,,,,,32,0,0,8,4,4,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
257,60,冰魔薇達,普通攻擊,,基本攻擊效果,111,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
258,60,冰魔薇達,技能,1,技能 1,,,,,,,,,,,,,,,,6,4,missing_skill_definition|missing_effect_definition,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
259,7,康那里士,普通攻擊,,基本攻擊效果,74,0,7,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
260,7,康那里士,技能,1668,六芒星斬,73,80,7,Y,,,,,,,,0,0,0,0,6,4,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
261,7,康那里士,技能,1552,食魂咒,59,0,7,,,,,,,,,64,0,0,5,4,4,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
262,7,康那里士,特殊攻擊,8,特殊攻擊效果 8,8,0,9,,,,,,,,,0,0,0,0,1,0,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
263,7,康那里士,治療／危急技能,1,技能 1,,,,,,,,,,,,,,,,2,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,missing_skill_definition|missing_effect_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
264,191,樂仙女,普通攻擊,,基本攻擊效果,349,0,6,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
265,191,樂仙女,技能,1546,仙音淨化,281,200,6,Y,,,,,,,,0,0,0,0,5,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
266,191,樂仙女,技能,1546,仙音淨化,281,200,6,Y,,,,,,,,0,0,0,0,3,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
267,191,樂仙女,技能,1546,仙音淨化,281,200,6,Y,,,,,,,,0,0,0,0,2,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
268,191,樂仙女,治療／危急技能,1,技能 1,,,,,,,,,,,,,,,,2,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,missing_skill_definition|missing_effect_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
269,316,妖燈鬼,普通攻擊,,基本攻擊效果,350,0,1,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
270,316,妖燈鬼,特殊攻擊,351,特殊攻擊效果 351,351,250,7,Y,,,,,,,,0,0,0,0,8,4,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
271,316,妖燈鬼,特殊攻擊,296,特殊攻擊效果 296,296,0,10,,,,,,,,,0,0,268435456,5,3,4,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
272,253,雪芙,普通攻擊,,基本攻擊效果,345,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
273,253,雪芙,技能,1695,仙靈冰封,344,400,2,Y,,,,,,,,1,0,0,3,4,5,area_effect|status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
274,253,雪芙,技能,1695,仙靈冰封,344,400,2,Y,,,,,,,,1,0,0,3,2,5,area_effect|status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
275,226,獨角獸,普通攻擊,,基本攻擊效果,1,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
276,226,獨角獸,特殊攻擊,430,特殊攻擊效果 430,430,600,8,,,,,,,,,0,0,0,0,6,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
277,226,獨角獸,特殊攻擊,430,特殊攻擊效果 430,430,600,8,,,,,,,,,0,0,0,0,2,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
278,50,影忍妖機,普通攻擊,,基本攻擊效果,181,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
279,155,蠶女,普通攻擊,,基本攻擊效果,307,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
280,155,蠶女,技能,1694,風捲殘雲,343,600,3,Y,,,,,,,,0,0,0,0,5,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
281,155,蠶女,技能,1694,風捲殘雲,343,600,3,Y,,,,,,,,0,0,0,0,5,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
282,3,薇達,普通攻擊,,基本攻擊效果,116,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
283,267,冥府獄卒,普通攻擊,,基本攻擊效果,3,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
284,267,冥府獄卒,特殊攻擊,321,特殊攻擊效果 321,321,480,9,,,,,,,,,0,0,0,0,5,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
285,267,冥府獄卒,特殊攻擊,320,特殊攻擊效果 320,320,0,10,,,,,,,,,512,0,0,8,4,5,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
286,395,高地骷髏妖,普通攻擊,,基本攻擊效果,1,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
287,395,高地骷髏妖,特殊攻擊,9,特殊攻擊效果 9,9,23,9,,,,,,,,,0,0,0,0,3,3,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
288,152,瑪特女神,特殊攻擊,425,特殊攻擊效果 425,425,400,9,,,,,,,,,0,0,0,0,5,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
289,152,瑪特女神,特殊攻擊,426,特殊攻擊效果 426,426,700,6,,,,,,,,,0,0,0,0,7,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
290,433,道士,普通攻擊,,基本攻擊效果,313,0,7,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
291,433,道士,技能,1,技能 1,,,,,,,,,,,,,,,,5,6,missing_skill_definition|missing_effect_definition,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
292,433,道士,特殊攻擊,325,特殊攻擊效果 325,325,0,7,,,,,,,,,32,0,0,8,3,4,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
293,433,道士,特殊攻擊,325,特殊攻擊效果 325,325,0,7,,,,,,,,,32,0,0,8,3,4,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
294,124,炎靈子,普通攻擊,,基本攻擊效果,350,0,1,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
295,124,炎靈子,特殊攻擊,424,特殊攻擊效果 424,424,700,1,,,,,,,,,0,0,0,0,5,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
296,124,炎靈子,特殊攻擊,423,特殊攻擊效果 423,423,600,1,,,,,,,,,0,0,0,0,4,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
297,273,瘟鬼,普通攻擊,,基本攻擊效果,314,0,7,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
298,273,瘟鬼,特殊攻擊,319,特殊攻擊效果 319,319,150,5,,,,,,,,,4096,0,0,8,3,4,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
299,273,瘟鬼,特殊攻擊,318,特殊攻擊效果 318,318,0,10,,,,,,,,,32,0,0,8,5,4,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
300,57,機關和尚,普通攻擊,,基本攻擊效果,132,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
301,57,機關和尚,技能,1690,降龍拳,306,300,9,,,,,,,,,0,0,0,0,3,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
302,57,機關和尚,技能,1690,降龍拳,306,300,9,,,,,,,,,0,0,0,0,2,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
303,57,機關和尚,技能,1690,降龍拳,306,300,9,,,,,,,,,0,0,0,0,1,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
304,57,機關和尚,特殊攻擊,3,特殊攻擊效果 3,3,0,9,,,,,,,,,0,0,0,0,5,4,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
305,154,上元夫人,普通攻擊,,基本攻擊效果,260,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
306,154,上元夫人,特殊攻擊,2,特殊攻擊效果 2,2,0,9,,,,,,,,,0,0,0,0,4,3,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
307,154,上元夫人,治療／危急技能,1578,神癒咒,14,0,0,,500,,,,,,,0,0,0,0,2,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,HP_recovery_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
308,154,上元夫人,治療／危急技能,1578,神癒咒,14,0,0,,500,,,,,,,0,0,0,0,2,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,HP_recovery_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
309,64,藍魔神,普通攻擊,,基本攻擊效果,246,100,2,Y,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
310,64,藍魔神,技能,1673,晶石裂地,109,75,2,Y,,,,,,,,0,0,0,0,3,4,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
311,64,藍魔神,技能,1672,凝冰術,110,100,2,,,,,,,,,0,0,0,0,2,4,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
312,64,藍魔神,特殊攻擊,1,特殊攻擊效果 1,1,0,9,,,,,,,,,0,0,0,0,3,3,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
313,271,吊死鬼,普通攻擊,,基本攻擊效果,313,0,7,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
314,271,吊死鬼,特殊攻擊,317,特殊攻擊效果 317,317,0,10,,,,,,,,,2,0,0,8,4,4,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
315,271,吊死鬼,特殊攻擊,317,特殊攻擊效果 317,317,0,10,,,,,,,,,2,0,0,8,4,4,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
316,146,妖陀螺鬼,普通攻擊,,基本攻擊效果,291,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
317,146,妖陀螺鬼,特殊攻擊,2,特殊攻擊效果 2,2,0,9,,,,,,,,,0,0,0,0,6,4,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
318,40,悟緣,普通攻擊,,基本攻擊效果,307,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
319,184,食屍鬼,普通攻擊,,基本攻擊效果,313,0,7,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
320,184,食屍鬼,特殊攻擊,316,特殊攻擊效果 316,316,222,9,,,,,,Y,,,0,0,0,0,4,4,HP_drain,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
321,184,食屍鬼,特殊攻擊,316,特殊攻擊效果 316,316,222,9,,,,,,Y,,,0,0,0,0,3,4,HP_drain,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
322,151,瓊霜,普通攻擊,,基本攻擊效果,194,0,2,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
323,151,瓊霜,技能,1682,滅靈光環,195,300,6,,,,,,,,,0,0,0,0,2,3,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
324,151,瓊霜,技能,1682,滅靈光環,195,300,6,,,,,,,,,0,0,0,0,2,3,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
325,10,慧彥,普通攻擊,,基本攻擊效果,188,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
326,93,慧彥,普通攻擊,,基本攻擊效果,188,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
327,63,姆斯比爾,普通攻擊,,基本攻擊效果,245,300,1,Y,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
328,63,姆斯比爾,技能,1666,炎魔熾烈擊,63,80,1,Y,,,,,,,,0,0,0,0,3,4,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
329,63,姆斯比爾,技能,1667,火神力場,64,8,1,Y,,,,,,,,0,0,0,0,2,4,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
330,63,姆斯比爾,特殊攻擊,6,特殊攻擊效果 6,6,0,9,,,,,,,,,0,0,0,0,4,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
331,173,阿拔東,普通攻擊,,基本攻擊效果,254,10,7,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
332,173,阿拔東,技能,1526,地龍鑽,255,20,4,,,,,,,,,0,0,0,0,2,4,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
333,173,阿拔東,技能,1526,地龍鑽,255,20,4,,,,,,,,,0,0,0,0,1,4,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
334,173,阿拔東,治療／危急技能,1574,氣療術,14,0,0,,100,,,,,,,0,0,0,0,1,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,HP_recovery_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
335,173,阿拔東,治療／危急技能,1574,氣療術,14,0,0,,100,,,,,,,0,0,0,0,1,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,HP_recovery_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
336,396,弒肉妖,普通攻擊,,基本攻擊效果,3,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
337,396,弒肉妖,特殊攻擊,8,特殊攻擊效果 8,8,0,9,,,,,,,,,0,0,0,0,5,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
338,269,冤魂,普通攻擊,,基本攻擊效果,314,0,7,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
339,269,冤魂,特殊攻擊,315,特殊攻擊效果 315,315,0,10,,,,,,,,,16,0,0,8,3,4,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
340,269,冤魂,特殊攻擊,315,特殊攻擊效果 315,315,0,10,,,,,,,,,16,0,0,8,3,4,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
341,145,魍魎,普通攻擊,,基本攻擊效果,3,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
342,145,魍魎,特殊攻擊,290,特殊攻擊效果 290,290,450,9,,,,,,Y,,,0,0,0,0,5,5,HP_drain,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
343,145,魍魎,特殊攻擊,312,特殊攻擊效果 312,312,120,5,,,,,,,,,4096,0,0,8,3,5,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
344,144,竹妖,普通攻擊,,基本攻擊效果,287,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
345,144,竹妖,特殊攻擊,288,特殊攻擊效果 288,288,100,4,,,,,,,,,128,0,0,5,3,5,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
346,144,竹妖,特殊攻擊,288,特殊攻擊效果 288,288,100,4,,,,,,,,,128,0,0,5,2,5,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
347,274,夜叉,普通攻擊,,基本攻擊效果,258,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
348,274,夜叉,特殊攻擊,2,特殊攻擊效果 2,2,0,9,,,,,,,,,0,0,0,0,5,3,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
349,272,餓死鬼,普通攻擊,,基本攻擊效果,295,0,7,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
350,272,餓死鬼,特殊攻擊,296,特殊攻擊效果 296,296,0,10,,,,,,,,,0,0,268435456,5,3,3,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
351,272,餓死鬼,特殊攻擊,296,特殊攻擊效果 296,296,0,10,,,,,,,,,0,0,268435456,5,3,3,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
352,222,枯屍鬼王,普通攻擊,,基本攻擊效果,135,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
353,181,庫塔,普通攻擊,,基本攻擊效果,119,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
354,181,庫塔,技能,1678,風靈之手,124,80,3,Y,,,,,,,,0,0,0,0,1,4,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
355,181,庫塔,技能,1678,風靈之手,124,80,3,Y,,,,,,,,0,0,0,0,1,4,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
356,181,庫塔,技能,1678,風靈之手,124,80,3,Y,,,,,,,,0,0,0,0,1,4,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
357,181,庫塔,治療／危急技能,1518,浸沐春風,85,0,3,,60,,,,,,,0,0,0,0,1,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,HP_recovery_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
